STATE,DISTRICT,Obama 2012 President D,Romney 2012 President R
AR,AR Senate 1,"8,542","22,751"
AR,AR Senate 2,"9,109","23,290"
AR,AR Senate 3,"8,167","16,580"
AR,AR Senate 4,"16,084","14,457"
AR,AR Senate 5,"9,484","21,505"
AR,AR Senate 6,"7,761","17,530"
AR,AR Senate 7,"7,886","15,458"
AR,AR Senate 8,"8,887","21,913"
AR,AR Senate 9,"7,515","16,216"
AR,AR Senate 10,"7,940","19,734"
AR,AR Senate 11,"8,486","19,291"
AR,AR Senate 12,"12,482","18,596"
AR,AR Senate 13,"10,429","21,717"
AR,AR Senate 14,"11,633","23,504"
AR,AR Senate 15,"10,591","22,033"
AR,AR Senate 16,"7,377","20,578"
AR,AR Senate 17,"9,613","25,976"
AR,AR Senate 18,"8,616","25,864"
AR,AR Senate 19,"8,680","20,942"
AR,AR Senate 20,"8,678","17,867"
AR,AR Senate 21,"9,410","17,618"
AR,AR Senate 22,"9,705","13,514"
AR,AR Senate 23,"10,133","15,755"
AR,AR Senate 24,"17,931","10,652"
AR,AR Senate 25,"17,595","8,124"
AR,AR Senate 26,"11,642","16,974"
AR,AR Senate 27,"13,171","19,778"
AR,AR Senate 28,"9,274","19,625"
AR,AR Senate 29,"6,008","22,573"
AR,AR Senate 30,"20,426","6,402"
AR,AR Senate 31,"23,573","5,689"
AR,AR Senate 32,"20,396","19,673"
AR,AR Senate 33,"10,774","26,026"
AR,AR Senate 34,"15,410","21,371"
AR,AR Senate 35,"11,003","18,168"
