STATE,DISTRICT,Clinton 2012 President D,Trump 2012 President R,Howell 2012 Senate D,Hatch 2012 Senate R
UT,UT Senate 1,"10,127","6,012","9,397","8,950"
UT,UT Senate 2,"29,586","6,555","23,732","11,276"
UT,UT Senate 3,"18,250","7,627","15,966","11,558"
UT,UT Senate 4,"27,827","13,374","25,401","23,483"
UT,UT Senate 5,"11,030","8,661","11,622","13,094"
UT,UT Senate 6,"11,937","13,501","12,700","19,899"
UT,UT Senate 7,"4,721","20,061","5,230","23,721"
UT,UT Senate 8,"19,536","13,813","18,399","20,086"
UT,UT Senate 9,"16,591","18,408","16,720","26,205"
UT,UT Senate 10,"12,076","20,665","10,471","27,329"
UT,UT Senate 11,"9,959","21,302","9,424","26,952"
UT,UT Senate 12,"9,022","11,603","9,882","15,431"
UT,UT Senate 13,"5,699","22,798","5,206","27,124"
UT,UT Senate 14,"5,146","23,050","5,120","32,777"
UT,UT Senate 15,"5,723","15,946","5,263","23,871"
UT,UT Senate 16,"5,220","12,023","4,532","19,887"
UT,UT Senate 17,"5,196","22,892","6,803","27,102"
UT,UT Senate 18,"10,047","15,619","10,278","19,234"
UT,UT Senate 19,"12,286","17,053","11,509","20,546"
UT,UT Senate 20,"7,332","19,288","8,225","21,986"
UT,UT Senate 21,"6,995","18,165","7,011","23,167"
UT,UT Senate 22,"9,328","21,428","9,399","30,042"
UT,UT Senate 23,"12,216","17,670","11,799","27,186"
UT,UT Senate 24,"4,279","27,285","6,462","27,621"
UT,UT Senate 25,"7,700","17,250","7,437","26,322"
UT,UT Senate 26,"11,269","25,146","9,967","25,408"
UT,UT Senate 27,"8,586","22,088","9,834","24,236"
UT,UT Senate 28,"5,519","26,637","6,299","25,758"
UT,UT Senate 29,"7,473","29,311","7,785","27,357"
