state,district_num,chamber,hand_incumbent
NC,14,upper,D
NC,32,upper,D
NE,73,upper,R
PA,15,upper,R
NM,12,upper,D
NC,48,upper,R
NM,13,upper,D
ND,28,upper,R
IN,28,upper,R
NY,52,upper,R
CO,4,upper,R
HI,5,upper,D
NM,33,upper,R
NM,33,upper,R
NM,7,upper,R
KY,33,upper,D
AK,00T,upper,D
IN,33,upper,D
MN,21,upper,R
KS,6,upper,D
NY,58,upper,R
AR,29,lower,D
CA,49,lower,D
CO,17,lower,D
GA,2,lower,R
GA,22,lower,R
GA,34,lower,R
GA,49,lower,R
GA,62,lower,D
GA,118,lower,D
GA,124,lower,D
GA,145,lower,R
GA,157,lower,R
HI,16,lower,D
IL,82,lower,R
IN,2,lower,D
IN,10,lower,D
IN,20,lower,R
IN,25,lower,R
IN,32,lower,R
IN,39,lower,R
IN,41,lower,R
IN,46,lower,R
IN,53,lower,R
IN,65,lower,R
IN,72,lower,R
IN,90,lower,R
KS,95,lower,D
KS,122,lower,R
KS,123,lower,R
ME,26,lower,D
ME,96,lower,D
MI,11,lower,D
MI,108,lower,R
MN,31B,lower,R
MN,40A,lower,D
MO,29,lower,D
MO,47,lower,R
MO,128,lower,R
MT,5,lower,D
NC,13,lower,R
NC,44,lower,D
NC,115,lower,D
NM,60,lower,R
NV,29,lower,D
NV,31,lower,D
NY,49,lower,D
NY,115,lower,D
NY,127,lower,D
OH,4,lower,R
PA,45,lower,D
PA,49,lower,R
PA,87,lower,R
PA,101,lower,R
PA,104,lower,R
PA,106,lower,R
PA,168,lower,R
PA,170,lower,R
PA,200,lower,D
SC,40,lower,R
SC,54,lower,D
SC,82,lower,D
SC,110,lower,R
SC,121,lower,D
TN,9,lower,R
TN,66,lower,R
TX,33,lower,R
TX,77,lower,D
